filename,SMILES
0.png,[Br-].[Br-].[Br-].[Cr+3]
1.png,O=Cc1c(Cl)ccc(Cl)c1O
2.png,O=c1oc2ccc(Cl)cc2n1CN1CCCCC1
3.png,N[C@@H](Cc1ccccc1)C(=O)N[C@H](C=O)Cc1ccc(O)cc1
4.png,CCCCCCCCCc1ccccc1OCCOCCOCCOCCOCCOCCOP(=O)(O)O
5.png,N#Cc1ccc[n+](Cc2ccccc2)c1.[Cl-]
6.png,OC(c1ccccc1)C(NCCNC(c1ccccc1)C(O)c1ccccc1)c1ccccc1
7.png,COc1cc2c(cc1O)C(=O)CCC=C2
8.png,O=[N+]([O-])[C-]1CCCC1
9.png,CCOC(=O)C(=O)Nc1c(C)noc1N
10.png,COc1ccc(NC(=O)C(/N=N/c2ccc(-c3ccc(/N=N/C(C(C)=O)C(=O)Nc4ccc(OC)cc4OC)c(Cl)c3)cc2Cl)C(C)=O)c(OC)c1
11.png,NC(=O)C(=O)CCC(=O)O
12.png,CCCCCCCCOCC(=O)O
13.png,Cc1cn([C@H]2C[C@H](N=[N+]=[N-])[C@@H](COS(=O)(=O)NC(=O)OCP(=O)(O)O)O2)c(=O)[nH]c1=O
14.png,O[C@@H]1C=Cc2c(ccc3nc4ccc5ccccc5c4cc23)[C@H]1O
15.png,CCCCCCCCCCCCCCCCCC(=O)NCCCN(C)C
16.png,COc1ccc(C=NN=C2c3ccccc3-c3ccccc32)cc1OC
17.png,C=C1CC[C@]2(C(=O)O[C@@H]3O[C@H](CO[C@@H]4O[C@H](CO)[C@@H](O[C@@H]5O[C@@H](C)[C@H](O)[C@@H](O)[C@H]5O)[C@H](O)[C@H]4O)[C@@H](O)[C@H](O)[C@H]3O)CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)CC[C@H](O[C@@H]6OC[C@H](O)[C@H](O)[C@H]6O[C@@H]6O[C@@H](C)[C@H](O)[C@@H](O)[C@H]6O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]2C1
18.png,CC1(C)N=C(N)N=C(N)N1c1ccc(CCC(=O)N2CCOCC2)cc1
19.png,NC(=NN=Cc1ccco1)C(N)=NN=Cc1ccco1
20.png,CCN(CC)CCC(=O)c1ccc(Oc2ccc(Cl)cc2)cc1.Cl
21.png,CCCCc1ccc(Oc2ccc(-n3[nH]c(=O)cc3NC(=O)c3cc(OC)cc(OC)c3)cc2)cc1
22.png,COc1cc(/N=N/c2cc(S(=O)(=O)[O-])c3cccc(S(=O)(=O)[O-])c3c2)ccc1N.[Na+].[Na+]
23.png,O=c1cc(NCCCc2ccccc2)[nH]c(=O)[nH]1
24.png,O=CCc1ccc2c(c1)CCCC2
25.png,CC(=O)CCCCNC(=O)n1cc(F)c(=O)[nH]c1=O
26.png,COc1ccc(N)cc1CN(CCCl)CCCl
